v1,v2
spam,Sample message number 0 for spam category.
ham,Sample message number 1 for ham category.
ham,Sample message number 2 for ham category.
spam,Sample message number 3 for spam category.
ham,Sample message number 4 for ham category.
ham,Sample message number 5 for ham category.
spam,Sample message number 6 for spam category.
ham,Sample message number 7 for ham category.
ham,Sample message number 8 for ham category.
spam,Sample message number 9 for spam category.
ham,Sample message number 10 for ham category.
ham,Sample message number 11 for ham category.
spam,Sample message number 12 for spam category.
ham,Sample message number 13 for ham category.
ham,Sample message number 14 for ham category.
spam,Sample message number 15 for spam category.
ham,Sample message number 16 for ham category.
ham,Sample message number 17 for ham category.
spam,Sample message number 18 for spam category.
ham,Sample message number 19 for ham category.
ham,Sample message number 20 for ham category.
spam,Sample message number 21 for spam category.
ham,Sample message number 22 for ham category.
ham,Sample message number 23 for ham category.
spam,Sample message number 24 for spam category.
ham,Sample message number 25 for ham category.
ham,Sample message number 26 for ham category.
spam,Sample message number 27 for spam category.
ham,Sample message number 28 for ham category.
ham,Sample message number 29 for ham category.
spam,Sample message number 30 for spam category.
ham,Sample message number 31 for ham category.
ham,Sample message number 32 for ham category.
spam,Sample message number 33 for spam category.
ham,Sample message number 34 for ham category.
ham,Sample message number 35 for ham category.
spam,Sample message number 36 for spam category.
ham,Sample message number 37 for ham category.
ham,Sample message number 38 for ham category.
spam,Sample message number 39 for spam category.
ham,Sample message number 40 for ham category.
ham,Sample message number 41 for ham category.
spam,Sample message number 42 for spam category.
ham,Sample message number 43 for ham category.
ham,Sample message number 44 for ham category.
spam,Sample message number 45 for spam category.
ham,Sample message number 46 for ham category.
ham,Sample message number 47 for ham category.
spam,Sample message number 48 for spam category.
ham,Sample message number 49 for ham category.
