Review,Rating,Sentiment
nice hotel expensive parking got good deal stay hotel monaco seattle th,4,Positive
ok nothing special charge diamond member hilton de,2,Positive
nice rooms not a* experience hotel monaco seattle a,5,Positive
"unique, great stay, wonderful time! hotel monaco seattle a",5,Positive
"great stay great stay wet, even seahawk game awesome,",4,Positive
love monaco staff husband stayed hotel crazy weekend breve,5,Positive
"cozy stay rainy city, husband spent 7",5,Positive
"excellent staff, housekeeping quality hotel chocked s",5,Positive
"hotel hotel great cruise, rooms generous c",4,Positive
"excellent stayed hotel monaco plus w/ delight, rece",5,Positive
"poor value room stayed seattle july, hotel monaco see",2,Positive
nice value seated stayed 4 nights late 2007. looked great,4,Positive
nice hotel good location hotel kimpton design whims,4,Positive
nice hotel not nice staff hotel lovely staff quite unhelpful,2,Positive
"great hotel night quick business trip, loved little touc",5,Positive
horrible customer service hotel stay february 3rd 4th,1,Positive
disappointed stay amazing reviews hotel monaco staff.,2,Positive
fantastic stay monaco seattle! hotel monaco holds big,5,Positive
good place clean central ac might be a bit loud sleep,4,Positive
hmmmm say really high hopes liked monaco choca,3,Positive
service service service! one best! stayed grand ho,5,Positive
"excellent stay, delightful surprise stay monaco, thorou",5,Positive
nice hotel stayed december 2003 rooms 501,4,Positive
great location need internally upgrade advantage near,4,Positive
not in mine good place good location hotel nice noise du,4,Positive
"loved, stayed warwick overnight getaway overcrowd rec",5,Positive
met expectations centrally located hotel block west,3,Positive
good sagamore great! warwick 4 years hatc 18,4,Positive
"good hotel large hotel newly decorated, rooms go",4,Positive
good staff nice employees helpful make stay pl,4,Positive
"good ac! airconditioning a- standard, arranged stay trav",4,Positive
good location poor cleanliness warwick hotel great lo,2,Positive
